exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
1461699439729721,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140364736883076,140364736883588,9,1,0,0,0,22656.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699443629074,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140556311615332,140556311617380,11,1,0,0,0,706.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699447459794,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140685412737492,140685412737364,7,1,0,0,0,8800.0,33619968,0
1461699449132971,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139769522398716,139769522415100,14,1,0,0,0,2752.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699468912793,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140418654237372,140418654237373,0,1,0,0,0,1543475249.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699478253004,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139990622698556,139990622436412,18,1,0,0,0,54288.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699481883375,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140021879914900,140021879882132,15,1,0,0,0,9440.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699487061746,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140294868980612,140294868980676,6,1,0,0,0,5104.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699490150460,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140454924696372,140454920502068,22,1,0,0,0,1789406912.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699492835894,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140530400883644,140530400884668,10,1,0,0,0,356.0,33619968,0
1461699494510679,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139866434661396,139866434653204,13,1,0,0,0,1816.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699502553515,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140292926446380,140292926446396,4,1,0,0,0,1872.0,33619968,0
1461699504228760,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140496070564100,140496070560004,12,1,0,0,0,836.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699508444252,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139881831895688,139881831897736,11,1,0,0,0,752.0,33619968,0
1461699510123038,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140231848943912,140231848935720,13,1,0,0,0,960.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699514990092,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140622328623100,140622328622588,9,1,0,0,0,57984.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699517712533,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140356212287336,140356212287338,1,1,0,0,0,1565630844.0,33619968,0
1461699519385926,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140503284662420,140503284662676,8,1,0,0,0,18880.0,33619968,0
1461699521057733,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139809937028820,139809937027796,10,1,0,0,0,189.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699528734753,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140303121701996,140303121710188,13,1,0,0,0,664.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699533378114,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139824100561792,139824100561536,8,1,0,0,0,28672.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699548354233,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139707507433740,139707507425548,13,1,0,0,0,1928.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699552901001,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139970951228076,139970951219884,13,1,0,0,0,2136.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699556581302,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140633565464212,140633565463700,9,1,0,0,0,9088.0,33619968,0
1461699558282732,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139948856190900,139948856223668,15,1,0,0,0,11488.0,33619968,0
1461699559987734,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139997574864212,139997574863188,10,1,0,0,0,308.0,33619968,0
1461699561662763,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139639144384580,139639144392772,13,1,0,0,0,104.0,33619968,0
1461699563339450,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139906862252228,139906862254276,11,1,0,0,0,310.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699566418605,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140477910416260,140477910383492,15,1,0,0,0,6624.0,33619968,0
1461699568132283,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140626729791948,140626729791949,0,1,0,0,0,1006646631.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699575355513,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140402671836980,140402671771444,16,1,0,0,0,14912.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699578405026,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140017148272660,140017148534804,18,1,0,0,0,1556.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699586993483,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139997504416724,139997504941012,19,1,0,0,0,49470.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699592119291,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140588920278688,140588920147616,17,1,0,0,0,50688.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699600417051,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140444303337556,140444303337557,0,1,0,0,0,738143555.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699607940572,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140598625040084,140598625039572,9,1,0,0,0,26752.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699611731063,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140011095513188,140011095513700,9,1,0,0,0,21376.0,33619968,0
1461699613432886,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140157893366468,140157893368516,11,1,0,0,0,790.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699616006428,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140103715702040,140103715701784,8,1,0,0,0,11520.0,33619968,0
1461699617740789,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140673606161876,140673606030804,17,1,0,0,0,16592.0,33619968,0
1461699619453158,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139672722605444,139672722605440,2,1,0,0,0,151.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699627016866,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139958480861408,139958480862432,10,1,0,0,0,132.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699633328172,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139868632275604,139868632273556,11,1,0,0,0,460.0,33619968,0
